"site","plot","site.quality","year.thinned","treat","ecentre","ncentre"
1,1,"SQ2","2017","moderate",312314,6015040
1,2,"SQ2",NA,"control",311813,6015027
1,3,"SQ2","2017","heavy",311419,6014684
2,1,"SQ1","2016","heavy",313646,6027908
2,2,"SQ1",NA,"control",313366,6027308
2,3,"SQ1","2016","moderate",313544,6026900
3,1,"SQ1","2017","moderate",316804,6037475
3,2,"SQ1",NA,"control",317529,6037839
3,3,"SQ1","2017","heavy",316977,6037888
4,1,"SQ1","2016","moderate",322144,6035139
4,2,"SQ1","2016","heavy",321682,6034603
4,3,"SQ1",NA,"control",322208,6034701
5,1,"SQ1",NA,"control",322912,6035382
5,2,"SQ1","2016","moderate",323410,6035059
5,3,"SQ1","2016","heavy",323414,6034487
6,1,"SQ1","2016","moderate",321998,6031588
6,2,"SQ1",NA,"control",321839,6032008
6,3,"SQ1","2016","heavy",322276,6032181
7,1,"SQ2",NA,"control",328548,6035966
7,2,"SQ2","2017","moderate",329061,6035820
7,3,"SQ2","2017","heavy",328637,6035540
8,1,"SQ2","2016","moderate",328854,6034894
8,2,"SQ2","2016","heavy",329178,6034514
8,3,"SQ2",NA,"control",328738,6034397
9,1,"SQ2",NA,"control",330946,6035869
9,2,"SQ2","2017","heavy",330763,6036273
9,3,"SQ2","2017","moderate",330473,6035848
10,1,"SQ2",NA,"control",332747,6036977
10,2,"SQ2","2017","moderate",332230,6036933
10,3,"SQ2","2017","heavy",331746,6036881
11,1,"SQ1","2017","heavy",331447,6035526
11,2,"SQ1","2017","moderate",331929,6035462
11,3,"SQ1",NA,"control",331352,6035126
12,1,"SQ2",NA,"control",332532,6034175
12,2,"SQ2","2016","moderate",332336,6034584
12,3,"SQ2","2016","heavy",332597,6033714
13,1,"SQ2","2016","moderate",317941,6019063
13,2,"SQ2",NA,"control",318357,6019981
13,3,"SQ2","2016","heavy",318275,6019468
14,1,"SQ2","2016","moderate",316772,6024518
14,2,"SQ2",NA,"control",317004,6024038
14,3,"SQ2","2016","heavy",316799,6024998
15,1,"SQ1","2017","heavy",317115,6025792
15,2,"SQ1",NA,"control",317564,6025705
15,3,"SQ1","2017","moderate",317630,6025263
16,1,"SQ1","2017","moderate",318477,6025049
16,2,"SQ1",NA,"control",318382,6025453
16,3,"SQ1","2017","heavy",318892,6024875
17,1,"SQ2",NA,"control",324480,6025860
17,2,"SQ2","2016","moderate",324237,6026273
17,3,"SQ2","2016","heavy",324567,6025324
18,1,"SQ2","2016","moderate",329554,6027302
18,2,"SQ2",NA,"control",329851,6026871
18,3,"SQ2","2016","heavy",329988,6027369
19,1,"SQ1","2017","heavy",337839,6029425
19,2,"SQ1",NA,"control",338239,6029106
19,3,"SQ1","2017","moderate",337444,6029742
20,1,"SQ1","2017","heavy",340325,6028743
20,2,"SQ1","2017","moderate",339530,6028907
20,3,"SQ1",NA,"control",339926,6028778
21,1,"SQ2","2017","heavy",341328,6031093
21,2,"SQ2","2017","moderate",341274,6031516
21,3,"SQ2",NA,"control",341466,6030677
22,1,"SQ1","2016","moderate",345514,6030137
22,2,"SQ1",NA,"control",345040,6030002
22,3,"SQ1","2016","heavy",344613,6030359
